Tfcelifeof , @@@@@@@@@@
Abraham , @@@@was
Woo , @@@
bout , bout
to , to
catch , catch
em , em
they , they
one , one
by , by
one , one
flipt , slipt
down , down
Stairs , Stairs
and , and
no , no
body , body
being , being
below , below
to , to
oppose , oppose
them , them
they , they
all , all
got , got
clear , clear
oft , of@
before , before
Jbram , Abram
was , was
sensible , senffble
he , he
was , was
left , left
to , to
play , play
by , by
himself , himself
he , he
then , then
presently , presently
pulls , pulls
off , off
his , his
Muffler , Muffler
and , and
run , run
ning , ning
down , down
Stairs , Stairs
like , like
a , a
frightend , frightend
Devil , Devil
swearing , swearing
he , he
was , was
utterly , utterly
ruinl , ruind
and , and
undone , undone
forever , forever
quoth , quoth
he , he
to , to
the , the
Maid , Maid
who , who
was , was
just , just
then , then
returnd , returnd
with , with
the , the
Wine , Wine
Did , Did
you , you
not , not
see , see
ihe , the
Rogues , Rogues
was , was
playing , playing
with , with
at , at
Buff , Buff
Oh , Oh
d , d
m , m
em , em
theyre , theyre
all , all
run , run
away , away
without , without
so , so
much , much
as , as
saying , saying
by , by
your , your
leave , leave
or , or
with , with
your , your
leave , leave
ah , ah
Moll , Moll
I , I
snail , shall
be , be
certainly , certainly
HangA , Hangd
when , when
our , our
Master , Master
comes , comes
home , home
what , what
must , must
I , I
do , do
The , The
Maid , Maid
replyd , replyd
I , I
cant , cant
tell , tell
what , what
youll , youll
do , do
you , you
should , should
have , have
lookd , lookd
better , better
after , after
em , em
I , I
thins , thin@
Quoth , Quoth
Jbram , Abram
Thats , Thats
true , true
Moll , Moll
but , but
you , you
saw , saw
they , they
blinded , blinded
me , me
so , so
much , much
with , with
their , their
Civility , Civility
that , that
little , little
thought , thought
the , the
Rogues , Rogues
had , had
the , the
least , least
De@sgn , Deffgn
in , in
the , the
World , World
to , to
have , have
left , left
me , me
so , so
unmannerly , unmannerly
as , as
they , they
did , did
without , without
saying , saying
any , any
thing , thing
in , in
the , the
lurch , lurch
Well , Well
@il , Ill
pursue , pursue
the , the
Dogs , Dogs
as , as
close , close
as , as
any , any
Blood , Blood
hound , hound
and , and
if , if
I , I
do , do
catch , catch
em , em
they , they
shall , shall
severely , severely
suffer , suffer
in , in
in , in
the , the
Flesh , Flesh
fort@@@@@@@@@@@@@@@@@@@@ , fortTheLifeofAbrahamWood
Jbram , Abram
runs , runs
after , after
the , the
lost , lost
Sheep , Sheep
but , but
it , it
be , be
ing , ing
Labour , Labour
in , in
vain , vain
instead , instead
of , of
returning , returning
back , back
he , he
listed , listed
himself , himself
for , for
a , a
Soldier , Soldier
and , and
went , went
into , into
Flanders , Flanders
where , where
he , he
had , had
not , not
been , been
long , long
before , before
he , he
heard , heard
of , of
his , his
Master , Master
as , as
abovemeritiond , aboveme@ntiond
and , and
not , not
liking , liking
the , the
Fatigue , Fatigue
of , of
long , long
Marches , Marches
short , short
Commons , Commons
and , and
pigging , pigging
in , in
Straw , Straw
he , he
de , de
serted , serted
from , from
the , the
Camp , Camp
and , and
got , got
safe , safe
to , to
Eng , Eng
land , land
again , again
and , and
did , did
find , find
some , some
Friends , Friends
by , by
whose , whose
means , means
and , and
interest , interest
he , he
arrivM , arrivd
to , to
the , the
Preferment , Preferment
of , of
becoming , becoming
a , a
Bailiff , Bailiff
in , in
the , the
Mar , Mar
jhalseaCourt , shalseaCourt
Being , Being
now , now
a , a
sworn , sworn
he , he
lookfi , look@t
out , out
for , for
Business , Buffness
when , when
shortly , shortly
after , after
