HENRY , Henry
@VAN , IV@@
LOR , @@v
CHI , @@@
JUSTIC , @@@@@@
Nay , Nay
more , more
to , to
spurn , spurn
at , at
your , your
most , most
royal , royal
image , image
And , And
mock , mock
your , your
workings , workings
in , in
a , a
second , second
body , body
Question , Question
your , your
royal , royal
thoughts , thoughts
make , make
the , the
case , case
yours , yours
Be , Be
now , now
the , the
father , father
and , and
propose , propose
a , a
son , son
Hear , Hear
your , your
own , own
dignity , dignity
so , so
much , much
profaned , profaned
See , See
your , your
most , most
dreadful , dreadful
laws , laws
so , so
loosely , loosely
slighted , slighted
Behold , Behold
yourself , yourself
so , so
by , by
a , a
son , son
disdained , disdained
And , And
then , then
imagine , imagine
me , me
taking , taking
your , your
part , part
And , And
in , in
your , your
power , power
soft , soft
silencing , silencing
your , your
son , son
After , After
this , this
cold , cold
considerance , considerance
sentence , sentence
me , me
And , And
as , as
you , you
are , are
a , a
king , king
speak , speak
in , in
your , your
state , state
What , What
I , I
have , have
done , done
that , that
misbecame , misbecame
my , my
place , place
My , My
person , person
or , or
my , my
lieges , lieges
sovereignty , sovereignty
K , K
You , You
are , are
right , right
Justice , Justice
and , and
you , you
weigh , weigh
this , this
well , well
Therefore , Therefore
still , still
bear , bear
the , the
balance , balance
and , and
the , the
sword , sword
And , And
I , I
do , do
wish , wish
your , your
honours , honours
may , may
increase , increase
Till , Till
you , you
do , do
live , live
to , to
see , see
a , a
son , son
of , of
mine , mine
Offend , Offend
you , you
and , and
obey , obey
you , you
as , as
I , I
did , did
So , So
shall , shall
I , I
live , live
to , to
speak , speak
my , my
fathers , fathers
words , words
Happy , Happy
am , am
I , I
that , that
have , have
a , a
man , man
so , so
bold , bold
That , That
dares , dares
do , do
justice , justice
on , on
my , my
proper , proper
son , son
And , And
no , no
less , less
happy , happy
having , having
such , such
a , a
son , son
That , That
would , would
deliver , deliver
up , up
his , his
greatness , greatness
so , so
Into , Into
the , the
hands , hands
of , of
justice , justice
You , You
did , did
commit , commit
me , me
For , For
which , which
I , I
do , do
commit , commit
into , into
your , your
hand , hand
The , The
unstained , unstained
sword , sword
that , that
you , you
have , have
used , used
to , to
bear , bear
With , With
this , this
remembrance , remembrance
that , that
you , you
use , use
the , the
same , same
With , With
the , the
like , like
bold , bold
just , just
and , and
impartial , impartial
spirit , spirit
As , As
you , you
have , have
done , done
gainst , gainst
me , me
There , There
is , is
my , my
hand , hand
You , You
shall , shall
be , be
as , as
a , a
father , father
to , to
my , my
youth , youth
My , My
voice , voice
shall , shall
sound , sound
as , as
you , you
do , do
prompt , prompt
mine , mine
ear , ear
And , And
I , I
will , will
stoop , stoop
and , and
humble , humble
my , my
intents , intents
To , To
your , your
wellpractised , wellpractised
wise , wise
directions , directions
@@ , SE
@@@Kn , HENYV
@@Hnry , ANDTHE
IV , LO
@@II , CHIE
