A , A
PLEASANT , PLEASANT
HISTOEIE , HISTORIE
with , with
his , his
letters , letters
unto , unto
that , that
house , house
of , of
religion , religion
desiring , desiring
the , the
Priour , Priour
to , to
come , come
and , and
speake , speake
with , with
him , him
When , When
the , the
Priour , Priour
had , had
read , read
the , the
Gentlemans , Gentlemans
letters , letters
and , and
knew , knew
for , for
what , what
cause , cause
he , he
was , was
sent , sent
for , for
he , he
made , made
him , him
ready , ready
to , to
ride , ride
with , with
the , the
messenger , messenger
Then , Then
forth , forth
they , they
rode , rode
and , and
the , the
next , next
day , day
they , they
arrived , arrived
at , at
the , the
Gentlemans , Gentlemans
place , place
When , When
the , the
Gen , Gen
tleman , tleman
understood , understood
that , that
the , the
Priour , Priour
was , was
come , come
he , he
was , was
glad , glad
and , and
went , went
to , to
the , the
gate , gate
and , and
with , with
great , great
reverence , reverence
he , he
received , received
the , the
Priour , Priour
and , and
brought , brought
him , him
into , into
his , his
place , place
Then , Then
the , the
Gentleman , Gentleman
commanded , commanded
his , his
servant , servant
to , to
fill , fill
cup , cup
of , of
Wine , Wine
that , that
the , the
Priour , Priour
and , and
he , he
might , might
drinke , drinke
to , to
gether , gether
And , And
when , when
they , they
had , had
drunke , drunke
and , and
refreshed , refreshed
themselves , themselves
well , well
they , they
walked , walked
foorth , foorth
into , into
a , a
faire , faire
garden , garden
and , and
then , then
they , they
commoned , commoned
together , together
of , of
many , many
things , things
and , and
when , when
they , they
had , had
finished , finished
all , all
their , their
communications , communications
the , the
Gentleman , Gentleman
said , said
unto , unto
the , the
Priour , Priour
Sir , Sir
the , the
cause , cause
that , that
you , you
be , be
come , come
hither , hither
is , is
this , this
It , It
is , is
so , so
that , that
I , I
have , have
a , a
young , young
Gentlewoman , Gentlewoman
to , to
my , my
daughter , daughter
which , which
is , is
grievously , grievously
vexed , vexed
andtroubled , andtroubled
in , in
herminde , herminde
andas@suppose , andasIsuppose
shehaih , shehath
some , some
wicked , wicked
spirit , spirit
in , in
her , her
body , body
and , and
sir , sir
it , it
was , was
shewed , shewed
me , me
by , by
a , a
servant , servant
of , of
mine , mine
which , which
was , was
long , long
servant , servant
in , in
your , your
place , place
that , that
you , you
could , could
helpe , helpe
her , her
Sir , Sir
said , said
the , the
Priour , Priour
what , what
is , is
his , his
name , name
The , The
Gentleman , Gentleman
said , said
his , his
name , name
is , is
Eush , Rush
And , And
when , when
the , the
Priour , Priour
heard , heard
his , his
name , name
hee , hee
knew , knew
him , him
well , well
enough , enough
and , and
said , said
unto , unto
the , the
Gentleman , Gentleman
sir , sir
cause , cause
the , the
gen , gen
tlewoman , tlewoman
to , to
come , come
before , before
me , me
and , and
I , I
trust , trust
in , in
Almighty , Almighty
God , God
shortly , shortly
to , to
finde , finde
a , a
remedy , remedy
for , for
her , her
and , and
when , when
the , the
Gentleman , Gentleman
heard , heard
the , the
Priour , Priour
speake , speake
so , so
he , he
was , was
glad , glad
in , in
his , his
heart , heart
and , and
commanded , commanded
in , in
all , all
hast , hast
to , to
bring , bring
