THECHEATSOFSCAPIN , @@@@@@@@@@@@@@@@@
Scapin , Scapin
Well , Well
Sir , Sir
snce , @nce
you , you
will , will
have , have
it , it
o , o
I , I
con , con
fes , fes
that , that
I , I
drank , drank
with , with
my , my
friends , friends
that , that
mall , mall
vesel , ve@el
of , of
Spanih , Spanih
wine , wine
that , that
omebody , omebody
made , made
yon , you
a , a
preent , preent
of , of
a , a
few , few
days , days
ago , ago
and , and
that , that
twas , twas
I , I
who , who
made , made
a , a
vent , vent
in , in
the , the
cak , cak
and , and
pourd , pourd
water , water
round , round
about , about
to , to
make , make
you , you
believe , believe
the , the
wine , wine
was , was
run , run
out , out
Leander , Leander
Was , Was
it , it
thee , thee
villain , villain
who , who
drank , drank
my , my
Spanih , Spanih
wine , wine
and , and
was , was
the , the
of , of
my , my
colding , colding
the , the
maid , maid
to , to
uch , uch
a , a
degree , degree
thinking , thinking
twas , twas
he , he
who , who
had , had
playd , playd
me , me
the , the
trickScapinYesSirbegyourpardonforitLeanderImverygladtofindthisbutthatsnottheaffairinquestionatpresentScapinIsntthatit , trick@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
Sir , @@@
Leander , Leander
No , No
tis , tis
another , another
affair , affair
which , which
concerns , concerns
me , me
much , much
more , more
and , and
I , I
mus , mu@
have , have
thee , thee
tell , tell
it , it
me , me
Scapin , Scapin
I , I
dont , dont
remember , remember
to , to
have , have
done , done
any , any
thing , thing
ele , ele
SirLeandergoingtostrikehimWontyoupeakScapinOh , S@@@@@@@@@@@i@@@@@@r@@@@@@@@@@@@@@@@@@@@@@@@@
Ocavio , O@avio
holding , holding
him , him
Softly , Softly
Scapin , Scapin
Yes , Yes
Sir , Sir
tis , tis
true , true
about , about
three , three
weeks , weeks
ago , ago
yon , you
ont , ent
me , me
in , in
the , the
evening , evening
to , to
carry , carry
a , a
watch , watch
to , to
a , a
young , young
gipy , gipy
you , you
were , were
in , in
love , love
with , with
I , I
came , came
back , back
to , to
my , my
lodg , lodg
ing , ing
my , my
cloths , cloths
all , all
coverd , coverd
with , with
dirt , dirt
and , and
my , my
face , face
bloody , bloody
and , and
told , told
you , you
I , I
had , had
met , met
with , with
thieves , thieves
who , who
had , had
beat , beat
me , me
unmercifully , unmercifully
and , and
robbd , robbd
me , me
of , of
the , the
watch , watch
Twas , Twas
I , I
Sir , Sir
who , who
kept , kept
it , it
Leander , Leander
Did , Did
keep , keep
the , the
watch , watch
Scapin , Scapin
Yes , Yes
Sir , Sir
that , that
I , I
might , might
ee , ee
what , what
o , o
clock , clock
it , it
is , is
Leander , Leander
So , So
o , o
theo , thee
are , are
fine , fine
things , things
I , I
learn , learn
here , here
and , and
I , I
have , have
a , a
mos , mo@
faithful , faithful
ervant , ervant
in , in
good , good
truth , truth
But , But
this , this
is , is
not , not
all , all
I , I
w@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@a@@@@@nt@@@@@@ , wantillTHECHEATSOFSCAPINScapinYesSirIbegyourpardonforitLeanderImverygladtofindthisbutthatsnottheaffairinqueionatpreentScapin
