@ , D
Of@@@@@@@@@@@@@@@@@@@@@@@@ , OfWindowesanddooressetupin
@@@ch@@@a@@@@@@@@@ge@@@@@s@@@@ , anothermanshouseDONewhowasbuta
@@la@@@@@@@@i@@@@@@@@@d@@@@@@@@@@ , TenantsetupWindowesanddooresinhis
@@@@@o@ut , LandLords
@@by , them
@o@ne@@@@@ , downeItwas
@@@@@i@n@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , questionedwhetherhethatsetthemupmight
Fofc@@@@@@ffm@@@@@@ , notclaimethemJulian
@@@@@@ , answer
@ , h
@@@@@ , might
@@@@@G , things
Ne , Ne
who , who
unadvisedly , unadvisedly
bought , bought
a , a
ground , ground
be , be
longing , longing
to , to
another , another
man , man
bestowed , bestowed
monies , monies
in , in
building , building
and , and
planting , planting
thereuponafterwards , thereuponafterwards
the , the
ground , ground
was , was
recovered , recovered
by , by
the , the
true , true
ownertc , ownerIt
was , was
questioned , questioned
whac , what
remedy , remedy
he , he
might , might
have , have
for , for
his , his
ex , ex
penses , penses
Celjifi , Cel@sus
fates , saies
It , It
is , is
a , a
bulines , buffnes
which , which
a , a
good , good
Judge , Judge
ought , ought
to , to
determine , determine
taking , taking
into , into
considerati , conffderati
on , on
the , the
persons , persons
and , and
the , the
circumstances , circumstances
thereof , thereof
For , For
faies , saies
he , he
Imagine , Imagine
there , there
was , was
nothing , nothing
done , done
but , but
what , what
the , the
true , true
owner , owner
would , would
have , have
done , done
himfelfe , himselfe
it , it
is , is
rea , rea
son , son
he , he
should , should
repay , repay
the , the
expenses , expenses
so , so
far , far
as , as
his , his
ground , ground
is , is
improved , improved
thereby , thereby
but , but
suppose , suppose
he , he
be , be
a , a
poore , poore
man , man
and , and
cannot , cannot
pay , pay
so , so
much , much
unlessc , unlesse
he , he
should , should
sell , sell
himfelfe , himselfe
out , out
of , of
house , house
and , and
home , home
It , It
may , may
Tbe , @be
suffcient , su@@cient
to , to
take , take
away , away
of , of
what , what
he , he
bestowed , bestowed
there , there
what , what
may , may
be , be
done , done
conveniently , conveniently
so , so
that , that
the , the
ground , ground
be , be
not , nor
thereby , thereby
made , made
worse , worse
then , then
it , it
wasbe , wasbe
fore , fore
and , and
this , this
is , is
thought , thought
just , just
that , that
if , if
the , the
owner , owner
of , of
the , the
house , house
will , will
give , give
as , as
much , much
as , as
it , it
may , may
be , be
worth , worth
to , to
the , the
other , other
to , to
have , have
the , the
things , things
taken , taken
awayhe , awayhe
may , may
re , re
taine , taine
those , those
things , things
for , for
the , the
Law , Law
does , does
not , not
favour , favour
any , any
despitefuil , despitefull
doings , doings
as , as
if , if
he , he
would , would
rake , take
away , away
rough , rough
cast , cast
bestowed , bestowed
upon , upon
the , the
wall , wall
or , or
deface , deface
pictures , pictures
whereby , whereby
he , he
should , should
gaine , gaine
nothing , nothing
but , but
to , to
doe , doe
to , to
an , an
other , other
a , a
difeuresy , discuresy
OfWindowsanddoor , O@@@@@@@@@@@@@@@
es , @@
u , @
in , Of
anothermanshouseDONewhowasbuta , @@@ch@@@a@@@@@@@@@ge@@@@@s@@@@
TenantsetupWindowesanddooresinhis , @@la@@@@@@@@i@@@@@@@@@d@@@@@@@@@@
LandLords , @@@@@o@ut
houseafterayeartheLandLordtook , @@use@f@@@ly@@@@@@@@@@@@@@@@@@
them , @@by
downedtwas , @o@ne@@@@@
questionedwhetherhethatsetthemupmight , @@@@@i@n@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
