C , @
the , the
meat , meat
is , is
prepard , prepard
and , and
sent , sent
another , another
way , way
there , there
is , is
Leanneffe , Leannesse
as , as
in , in
Vomiting , Vomiting
and , and
Fluxes , Fluxes
so , so
it , it
is , is
by , by
worms , worms
consuming , consuming
the , the
nourishment , nourishment
that , that
ought , ought
to , to
be , be
turned , turned
into , into
feshThe , @eshThe
Blood , Blood
is , is
faulty , faulty
cauie , cause
of , of
Leanness , Leanness
when , when
it , it
is , is
too , too
Melancholical , Melancholical
for , for
where , where
the , the
Spleen , Spleen
fourishes , @ourishes
the , the
rest , rest
of , of
the , the
body , body
growes , growes
Lean , Lean
and , and
where , where
the , the
rest , rest
of , of
the , the
body , body
consumes , consumes
the , the
Spleen , Spleen
growes , growes
So , So
likewise , likewise
when , when
the , the
Blood , Blood
is , is
too , too
Cholerick , Cholerick
for , for
then , then
it , it
is , is
ofensive , o@enffve
to , to
nature , nature
for , for
no , no
blood , blood
can , can
be , be
turnd , turnd
into , into
the , the
substance , substance
of , of
the , the
body , body
that , that
hath , hath
Cho , Cho
ler , ler
mixt , mixt
with , with
it , it
or , or
if , if
it , it
be , be
waterish , waterish
whereby , whereby
bodies , bodies
also , also
consume , consume
as , as
in , in
Dropsies , Dropffes
so , so
likewise , likewise
if , if
the , the
blood , blood
be , be
Salt , Salt
leanneffe , leannesse
is , is
caused , caused
for , for
Salt , Salt
things , things
are , are
EarthyDry , EarthyDry
and , and
contrary , contrary
to , to
nourish , nourish
ment , ment
and , and
dry , dry
the , the
body , body
and , and
is , is
not , not
as , a@
milated , milated
and , and
therefore , therefore
consume , consume
and , and
extenuate , extenuate
directly , directly
and , and
naturally , naturally
by , by
accident , accident
Salt , Salt
may , may
conduce , conduce
to , to
nourish , nourish
ment , ment
by , by
exciting , exciting
an , an
Appetite , Appetite
and , and
di , di
stributing , stributing
the , the
Food , Food
but , but
naturally , naturally
it , it
is , is
contrary , contrary
to , to
nourishment , nourishment
insomuch , insomuch
that , that
some , some
have , have
Writ , Writ
that , that
Fishes , Fishes
are , are
not , not
nou , nou
rishd , rishd
with , with
Water , Water
orjuyces , orJuyces
that , that
are , are
Salt , Salt
but , but
with , with
sweet , sweet
thingsor , thingsor
other , other
things , things
that , that
