@@VlVNl , Orderof
@@@@REX , Scenery
@ET , and
@@EGlNA , Inident
No , in
@@Mue , thene
tobe , Grnd
@Re@t@driJ , SpectaleUE
TABBY , WHICH
@rioter , SDHUSIN
ThatreKyalUjuryLae , ISDISCVREDLEEPIGON
Act , ALI
S@@@@crse , SADHUSING
@@Oidti , RESCUES
@of , HIS
@Scenery , CHILDREN
uid , FRM
Incdents , THEGRASP
in , OF
the , TWO
new , BOA
@@@@@@@Jran , CONSTRITORS
S@@pectaceSeme , SADHUSINGDNDED
J , B
@@ , TW
@@@ , LIO
@In@teio@r , ainstabody
of , of
@@theSltans , INDIASWITHA
@P@alace , SPLENDID
@A@drewsScen , TALPROCESION
@@@ , HYD
@@ , AL
@@BANAN , DELHIon
@@RUE@IN@ , anELEPANT
@@TH@@@@E , SADHUSING
FOR@EST , BORNEBY
@@MYSOR@ , SOLDIERS
@@@ , Wit
@@ , th
@An@@dre@@@@@@@@ws , ConqueredLionathis
@@UN , Feet
@WH , Act
S@@@A , Scene
I@@@@Nr@@ , Interirof
@@@S@@@@@@ , theSultans
@DISCO , Palace
SLEEPIN , Andrews
@@@ON , Fight
@@@@@@a , between
@@@I@@@ON , theIndian
@@@ADHUSN , andParias
RESCUE@S , RESCUEof
@@HI , MORA
CHILD , Scene
@@@@@@@@@@HE , Habitationof
@@RASP , Sasing
OF , in
TWO , the
@@@BOA , Forest
COSTRICTADHUSNGDE , ofMysoreAdamsScne
B@@Y@@ , BANYAN
T@WO , TREE
LINS , INTH
@@agaist , FORESTOF
ahodv , MSORE
INDIANS , @Andrew
acts , Acts
@@@@@ , Scene
The , The
Tent , Tent
of , of
Hyder , Hyder
Ali , Ali
@@ , Sc
The , The
VALLEY , VALLEY
of , of
the , the
PELICANStaield , PELICANStaneld
HYDER , HYDER
ALI , ALI
on , on
his , his
STATE , STATE
ELEPHANT , ELEPHANT
For , For
the , the
DIVERSION , DIVERSION
of , of
a , a
TIGER , TIGER
HUNT , HUNT
Sc@@e , Scene
@ALACE , PALACE
of , of
the , the
SULTAN , SULTAN
from , from
the , the
GARDENS , GARDENS
Stanfeid , Stan@eld
Scene , Scene
THE , THE
ARERTAi , ARE@NA@
AT , AT
lOTSOHE , @MYSORE
Zrinari , Mrinari
A , A
Terrifc , Terri@c
Combat , Combat
with , with
Sadhusing , Sadhusing
a , a
Lion , Lion
Scene , Scene
The , The
CURTAIN , CURTAIN
APARTMENT , APARTMENT
in , in
tllO , t@he
PALACE , PALACE
Marinari , Marinari
StentaJTRTAXNAPARTMENTinthe , Sce@@@@@@@@@@@@@@@@@@@@n@@e
PALA , @@@@
THE , THE
ENTRANCE , ENTRANCE
TO , TO
MYSOREMannariWITHA , MYSORE@@@@@@@@@@@@
SPLEND , @@@@@@
TRIUMPHALPROCESSIONHYDERALIDELHIonanELEPHANTHUSNGrBORNEBYSOLDIERSiththeConqueredLionathisFeet , @@@@M@@@@@@@@@@@@@@@@@@@@@@@@@@@@@a@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@r@@@i@na@ri@@@@@
HYDER , HYDER
ALI , ALI
or , or
The , The
LIONS , LIONS
of , of
MYSORE , MYSORE
Will , Will
be , be
repeated , repeated
this , this
Evening , Evening
and , on@
three , three
times , times
a , a
week , week
until , until
further , further
notice , notice
Mrs , Mrs
W@@@ , WOOD
@@@O , late
@@@O , Miss
@@@@D , PATON
Will , Will
repeat , repeat
Mandana , Mandane
in , in
ARTAXERXES , ARTAXERXES
Tomorrow , Tomorrow
perform , perform
SBelinda , @Zelinda
in , in
the , the
SLAVE , SLAVE
on , on
Thursday , Thursday
and , and
for , for
the , the
First , First
Time , Time
Clarissa , Clarissa
on , on
Saturday , Saturday
Miss , Miss
MAYHEW , MAYHEW
Having , Having
been , been
received , received
with , with
great , great
favour , favour
will , will
have , have
the , the
honour , honour
of , of
making , making
her , her
second , second
Appearance , Appearance
on , on
Wednesday , Wednesday
next , next
in , in
the , the
Chrracter , Character
of , of
Elnira , Elvira
in , in
HASANTELLO , MASANIELLO
Miss , Miss
SMITH , SMITH
Having , Having
experienced , experienced
a , a
most , most
favourable , favourable
reception , reception
on , on
her , her
debut , debut
last , last
Saturday , Saturday
will , will
repeat , repeat
the , the
Character , Character
of , of
Little , Little
Pickle , Pickle
on , on
T@@@@@@@@et@@@@n@@@@@@@@@@@@@@@@@@@or@@r@@@o@@@@@u@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , TuesdaythethCountAlmavivaMrWoodDoctorBartoloMrSeguinFigaroMrHPhillipsRosinaMrsWoodTomorrow
in , In
Consequence , consequence
ef , of
its , its
enthusiastic , enthusiastic
reception , reception
on , on
hmsatuy , hursday
tie , the
Up@wt , Opera
ot , of
IPTATBRYTIfi , ARTAXER@@XES
Artaxerxes , Artaxerxes
Miss , Miss
Ashares , Aabaces
Templeton , Templeton
Artbanes , Artbanes
Mr , Mr
Wood , Wood
arnJane , Mandane
Mrs , Mrs
Wood , Wood
After , After
which , which
POPPING , POPPING
THE , THE
QUESTION , QUESTION
Vr , Mr
Primrose , Primrose
Mr , Mr
Farren , Farren
And , And
The , The
BRIGAND , BRIGAND
Ale@jandro , Alessandro
Msssaroni , Massaroni
Mr , Mr
Waliack , Wallack
WednesdayFirst , WednesdayFirst
Time , Time
this , this
Season , Season
the , the
Opera , Opera
of , of
MASANIELLO , MASANIELLO
Masaniello , Masaniello
frst , @rst
time , time
r , r
Wood , Wood
Elviia , Elvira
frst , @rst
time , time
Miss , Miss
Mayhew , Mayhew
Fenella , Fenella
rst , rst
time , time
M@us , Miss
Kenneth , Kenneth
After , After
which , which
The , The
Spoild , Spoild
Child , Child
Istile , @ittle
Pickle , Pickle
Miss , Miss
Smith , Smith
And , And
Hyder , Hyder
Ali , Ali
or , or
The , The
Lions , Lions
of , of
Mysore , Mysore
Thursday , Thursday
fit , @in
consequence , consequence
ef , of
numerous , numerous
applications , applications
at , at
the , the
Operatic , Operatic
Play , Play
of , of
The , The
SLAVE , SLAVE
Aftcr , After
wbih , whih
irst , @rst
time , time
thee , thee
years , years
The , The
Adopted , Adopted
Child , Child
Miebaei , Michael
Mr , Mr
Waiiack , Wallack
FridayWILLIAM , FridayWILLIAM
TELL , TELL
William , William
@eli , Tell
@r , Mr
aerrady , acready
To , To
conclude , conclude
with , with
HYDER , HYDER
ALI , ALI
or , or
The , The
Lions , Lions
of , of
Mysore , Mysore
Saturdaywillbe , Saturdaywillbe
re@vived , received
for , for
the , the
First , First
Time , Time
these , these
years , years
dickersths , Bickerstas
pera , pera
of , of
LIONEL , LIONEL
and , and
CLARISSA , CLARISSA
Lionel , Lionel
Mr , Mr
Wood , Wood
olonel , olonel
Oldboy , Oldboy
Mr , Mr
Farren , Farren
Josamy , Jesamy
Mr , Mr
Farley , Harley
Jekins , Jekins
v , r
eguin , eguin
Marman , Harman
TempletOD , Templeton
Clarissa , Clarissa
Mrs , Mrs
Wood , Wood
lady , @ady
Oldboy , Oldboy
@rs , Mrs
Jones , Jones
Diana , Diana
Oldboy , Oldboy
viss , Miss
Field , Field
Jenny , Jenny
Mrs , Mrs
