I , @
Part , Part
II , II
New , New
Philosophy , Philosophy
Motives , Motives
of , of
his , his
suffcient , su@@cient
to , to
reconcile , reconcile
me , me
to , to
his , his
Assertions , Assertions
I , I
may , may
justly , justly
observe , observe
an , an
Errone , Errone
ous , ous
Relapse , Relapse
to , to
his , his
former , former
Principles , Principles
And , And
thus , thus
in , in
his , his
th , th
Particular , Particular
that , that
oc , oc
casions , caffons
my , my
Debate , Debate
He , He
supposes , supposes
That , That
the , the
whole , whole
Nature , Nature
of , of
Corporeal , Corporeal
Substance , Substance
containd , containd
in , in
a , a
space , space
of , of
Ten , Ten
or , or
any , any
Number , Number
of , of
Feet , Feet
may , may
be , be
understood , understood
without , without
any , any
Computation , Computation
of , of
it , it
as , as
loca@Uy , locally
Commensurable , Commensurable
and , and
this , this
to , to
be , be
accom , accom
plishd , plishd
by , by
a , a
Jole , sole
Idea , Idea
of , of
the , the
Mind , Mind
in , in
his , his
Opinion , Opinion
But , But
is , is
it , it
possble , po@@ble
to , to
promote , promote
meer , meer
Thought , Thought
by , by
an , an
Insensible , Insenffble
Act , Act
suitable , suitable
to , to
the , the
purpose , purpose
he , he
intends , intends
it , it
Can , Can
a , a
Man , Man
that , that
never , never
under , under
stood , stood
how , how
a , a
Plain , Plain
Superfcies , Super@cies
may , may
contain , contain
Body , Body
or , or
is , is
producd , producd
according , according
to , to
his , his
Exam , Exam
ple , ple
to , to
a , a
space , space
of , of
Ten , Ten
Feet , Feet
Conceive , Conceive
or , or
Delineate , Delineate
such , such
a , a
Figure , Figure
without , without
know , know
ing , ing
that , that
it , it
is , is
Compleated , Compleated
by , by
Multiplying , Multiplying
of , of
by , by
@ , R
Should , Should
a , a
Mathematical , Mathematical
Tutor , Tutor
Inform , Inform
his , his
Pupil , Pupil
That , That
it , it
would , would
be , be
susscient , su@@cient
for , for
his , his
In , In
struction , struction
if , if
by , by
Mental , Mental
Speculation , Speculation
he , he
Ima , Ima
that , that
there , there
was , was
in , in
Nature , Nature
such , such
a , a
Thing , Thing
as , as
a , a
Plain , Plain
Superfcies , Super@cies
tho , tho
he , he
did , did
not , not
appre , appre
hend , hend
that , that
Longitude , Longitude
and , and
Latitude , Latitude
were , were
its , its
Numerical , Numerical
Proprieties , Proprieties
Could , Could
Science , Science
be , be
Improvd , Improvd
by , by
such , such
an , an
Impertinent , Impertinent
and , and
IdleR , Idle@
