@@AN , Geld
@ENGLIS , Griffin
@@ANTHOGY , PallasOct
Have , Have
each , each
their , their
hour , hour
He , He
walks , walks
on , on
ice , ice
whose , whose
dallying , dallying
spirit , spirit
clings , clings
To , To
earthly , earthly
things , things
And , And
he , he
alone , alone
is , is
wise , wise
whose , whose
welltaught , welltaught
love , love
Is , Is
fixed , fixed
above , above
Truths , Truths
firm , firm
as , as
bright , bright
but , but
oft , oft
to , to
mortal , mortal
ear , ear
Chilling , Chilling
and , and
drear , drear
Harsh , Harsh
as , as
the , the
ravens , ravens
croak , croak
the , the
sounds , sounds
that , that
tell , tell
Of , Of
pleasures , pleasures
knell , knell
Pray , Pray
reader , reader
that , that
at , at
least , least
the , the
minstrels , minstrels
strain , strain
Not , Not
all , all
be , be
vain , vain
And , And
when , when
thou , thou
bendst , bendst
to , to
God , God
the , the
suppliant , suppliant
knee , knee
Remember , Remember
me , me
CCCLXXIX , CCCLXXIX
THE , THE
VOICELESS , VOICELESS
We , WE
count , count
the , the
broken , broken
lyres , lyres
that , that
rest , rest
Where , Where
the , the
sweet , sweet
wailing , wailing
singers , singers
slumber , slumber
But , But
oer , oer
their , their
silent , silent
sisters , sisters
breast , breast
The , The
wild , wild
flowers , flowers
who , who
will , will
stoop , stoop
to , to
number , number
A , A
few , few
can , can
touch , touch
the , the
magic , magic
string , string
And , And
noisy , noisy
fame , fame
is , is
proud , proud
to , to
win , win
them , them
Alas , Alas
for , for
those , those
that , that
never , never
sing , sing
But , But
die , die
with , with
all , all
their , their
music , music
in , in
them , them
Nay , Nay
grieve , grieve
not , not
for , for
the , the
dead , dead
alone , alone
Whose , Whose
song , song
has , has
told , told
their , their
hearts , hearts
sad , sad
story , story
Weep , Weep
for , for
the , the
voiceless , voiceless
who , who
have , have
known , known
The , The
cross , cross
without , without
the , the
crown , crown
of , of
glory , glory
