WHENYEGSheSOth , @@@@@@@@@@@@@@
LondonI , LondonH
P , P
Such , Such
Machine , Machine
and , and
Genera , Genera
Printer , Printer
Union , Union
Street , Street
BoroughtyiOMEallyougallantBritishheartsthatlovetheredandbluerueAnddrinkahealthtothosebraveladsthatmade , Borough@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
the , @We
RussiansThenfilltheglassandletitpassthreecheersandonecheermoreFortheTwentiethofSeptemberEightecnhundredFiftyfourWesailc , @@@s@a@@@@@@@i@@@@@@@@@@@@@l@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ed@@@@@@@@@@@@@@@@
from , from
Kalamita , Kalamita
Bay , Bay
and , and
soon , soon
we , we
made , made
the , the
coast , coast
Determined , Determined
we , we
would , would
do , do
our , our
best , best
in , in
spite , spite
of , of
brag , brag
or , or
boast , boast
We , We
sprang , sprang
to , to
land , land
upon , upon
the , the
strand , strand
and , and
slept , slept
on , on
RussiasshoreOnthefourteenthofSeptembereighteenhundredfiftyfourWemarchedalonguntilwecameupontheAlmasbanksAVehaltedjustbeneathtlieirlinestobreatheandcloseourranksAdvanceweheardandatthewordrightthrothebrookweboreOnthetwentiethofSeptembereighteenhundredliftyfourWescrambledthroughtheclusteringgrapesthencamethebattlesbruntZSTheofficersallcheeredusonour , R@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@u@@@s@@@@@@@@@@@@@@@@@@@@@s@@@i@@@@@@@@@@@@@@@@@@@@a@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@s@@@@@
colourswavedinfrontTherefightingwellfullmanyfellalastorisenomoreI , @@@@@@s@@@@@@@@@@@@@@@@@@@@h@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ore@
OnthetwentiethofSeptembereighteenhundredfiftyfourTheFrenchtheyhadtherightthatdayandflankdtlieRussianlineshineWhilestfullupon , O@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@n
their , the@@
fronttheysawtheBritishbayonetsWithheartycheerswestunndtheirearsamidstthecamionsroarOnthetwentieth , f@@@@@@@@@@@@@@@@@@@@@@@@o@@@@@@@@@@@@@@@@@@@@@@@@u@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@r@@t@e@@en@@@th
of , of
September , September
eighteen , eighteen
hundred , hundred
fiftyfour , fiftyfour
A , A
picnic , picnic
party , party
MenschikofF , Menschikoff
had , had
asked , asked
to , to
see , see
the , the
fun , fun
The , The
ladies , ladies
came , came
at , at
twelve , twelve
oclock , oclock
to , to
see , see
the , the
battle , battle
won , won
They , They
found , found
the , the
day , day
