SECTIVMANWASMADETOMOURN , @@@@@@@@@@@@@@@@@@@@@@@
CCLXVIII , CCLXVIII
SCHOOLDAYS@@@@@@ , SCHOOLDAYSCCLXIX
Be , BE
it , it
a , a
weakness , weakness
it , it
deserves , deserves
some , some
praise , praise
Be , Be
love , love
the , the
playplace , playplace
of , of
our , our
early , early
days , days
The , The
scene , scene
is , is
touching , touching
and , and
the , the
heart , heart
is , is
stone , stone
That , That
feels , feels
not , not
at , at
that , that
sight , sight
and , and
feels , feels
at , at
none , none
The , The
wall , wall
on , on
which , which
we , we
tried , tried
our , our
graving , graving
skill , skill
The , The
very , very
name , name
we , we
carved , carved
subsisting , subsisting
still , still
The , The
bench , bench
on , on
which , which
we , we
sat , sat
while , while
deep , deep
employed , employed
Though , Though
mangled , mangled
hacked , hacked
and , and
hewed , hewed
not , not
yet , yet
de , de
stroyed , stroyed
The , The
little , little
ones , ones
unbuttoned , unbuttoned
glowing , glowing
hot , hot
Playing , Playing
our , our
games , games
and , and
on , on
the , the
very , very
spot , spot
As , As
happy , happy
as , as
we , we
once , once
to , to
kneel , kneel
and , and
draw , draw
The , The
chalky , chalky
ring , ring
and , and
knuckle , knuckle
down , down
at , at
taw , taw
To , To
pitch , pitch
the , the
ball , ball
into , into
the , the
grounded , grounded
hat , hat
Or , Or
drive , drive
it , it
devious , devious
with , with
a , a
dexterous , dexterous
pat , pat
The , The
pleasing , pleasing
spectacle , spectacle
at , at
once , once
excites , excites
Such , Such
recollection , recollection
of , of
our , our
own , own
delights , delights
That , That
viewing , viewing
it , it
we , we
seem , seem
almost , almost
to , to
obtain , obtain
Our , Our
innocent , innocent
sweet , sweet
simple , simple
years , years
again , again
This , This
fond , fond
attachment , attachment
to , to
the , the
wellknown , wellknown
place , place
Whence , Whence
first , first
we , we
started , started
into , into
lifes , lifes
long , long
race , race
Maintains , Maintains
its , its
hold , hold
with , with
such , such
unfailing , unfailing
sway , sway
We , We
feel , feel
it , it
even , even
in , in
age , age
and , and
at , at
our , our
latest , latest
dayCowpersTirociniumCCLXIX , day@@@@@@@@@@@@@@@@@@@@@@@
MAN , MAN
WAS , WAS
MADE , MADE
TO , TO
MOURN , MOURN
Then , THEN
chill , chill
Novembers , Novembers
surly , surly
blast , blast
Made , Made
fields , fields
and , and
forests , forests
bare , bare
One , One
evening , evening
as , as
I , I
wandered , wandered
forth , forth
Along , Along
the , the
banks , banks
of , of
