@@ , GT
The , The
Life , Life
of , of
Ab@@@@@@@@@@@@@@@@@@@@@@@r@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@a@@@@@@@@@@@@@@@@@@@@@@@@@@b@@@@@@a@@@@@@@@@@@@@@@@m@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , AbrahamWoodTHESEfewLinesaretoacquaintyouthatasithathbeenmyHappinesetoenjoyyouinmyArmsIbegtheFavourofyourgoodCompanynowifyoucanbyanyMeansgetabroadwithoutgivingsuspiciontoyourJealousHusbandwhobyallthats
@od@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , GodshallneverknowformetheamorousIntriguebetwixtusIimpatientlywaityourcomingattheGreyhoundTaverninPalaceYardandin
@h@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@i@@@@@@@@m@@@@@@@@@@@@@@@@ , themeantimebegtosubscribemyselfafterbiddingyoutoaskforNumberFiveyourcomstantandfaithful
@@wi@@r@@@@@@@@h , AdmirertillDeath
@@@a@@@@@@@@@@@@@@@@@@@ , MadamWestminsterAprilth
Si@@i@@@@@it , himwithaSuit
of , of
Cloaths , Cloaths
to , to
the , the
Cockpit , Cockpit
and , and
waiting , waiting
in , in
Expectation , Expectation
of , of
his , his
coming , coming
out , out
again , again
the , the
fame , same
way , way
as , as
he , he
went , went
in , in
which , which
was , was
against , against
the , the
PrivyGarden , PrivyGarden
Door , Door
as , as
they , they
expected , expected
so , so
it , it
happend , happend
and , and
suddenly , suddenly
seizing , seizing
him , him
they , they
presently , presently
haled , haled
him , him
into , into
King , King
trees , treet
before , before
any , any
Assistance , Assistance
could , could
come , come
to , to
him , him
and , and
have , have
hint , hi@m
now , now
in , in
safeCustodyThe , safeCustodyThe
Woman , Woman
be , be
lieving , lieving
it , it
to , to
be , be
really , really
sodetird , sodeffrd
him , him
not , not
to , to
take , take
any , any
notice , notice
of , of
it , it
to , to
any , any
Body , Body
in , in
the , the
House , House
and , and
file , @she
would , would
go , go
along , along
with , with
him , him
straitway , straitway
They , They
had , had
not , not
been , been
gone , gone
far , far
together , together
before , before
Ahram , Abram
who , who
lay , lay
purdue , purdue
steps , steps
to , to
the , the
House , House
and , and
enquiring , enquiring
for , for
the , the
Taylors , Taylors
Wife , Wife
who , who
was , was
a , a
very , very
pretty , pretty
Woman , Woman
and , and
therefore , therefore
her , her
Husband , Husband
was , was
most , most
prodigiously , prodigiously
Jealous , Jealous
of , of
her , her
when , when
the , the
Maid , Maid
told , told
him , him
that , that
her , her
Mist , Mist
ress , ress
was , was
gone , gone
out , out
and , and
file , @she
did , did
not , not
know , know
how , how
soon , soon
or , or
late , late
it , it
would , would
be , be
before , before
she , she
might , might
re , re
turn , turn
he , he
delivers , delivers
the , the
abovesaid , abovesaid
letter , letter
to , to
her , her
to , to
give , give
her , her
Mistress , Mistress
withal , withal
charging , charging
her , her
not , not
to , to
let , let
her , her
Master , Master
know , know
any , any
thing , thing
of , of
it , it
and , and
to , to
enjoyn , enjoyn
her , her
to , to
Secrefie , Secreffe
he , he
gave , gave
her , her
a , a
Shil , Shil
ling , ling
the , the
contents , contents
ofitareasfollowsMadamWestminsterApril , o@@@@@@@@f@@@@@@@@@@@@@@@@@@@@@@@@@@@
iothfHESEfewLines , i@t@@@@@@@@@@@@@@
arctoacquaintyouthatasithathbeenmy , ar@@@@@@@@@@@@@@@@@@@@@@@@@@@@e@@@
HappinesstoenjoyyouinmyArmsIbegtheFavourofyourgoodCompanynow , @a@@@@@@@@@@@@@@@@@@@@@@@@s@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
